dirkey,word,pc1,pc2,cat,type,state
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,dressed,-0.08580671861462513,0.3198016762884911,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,quiet,0.18018794127184565,-0.0893752882414531,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,tiny,0.34878998107364667,-0.16666746665956905,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,high,0.20215623927308904,-0.44465799822892277,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,scared,0.12120787477735,0.34694595720716576,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,special,0.26365783856141994,-0.1648883355806245,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,crazy,0.21011845376590566,0.017631535858445978,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,warm,0.2970682401668661,-0.15893467040986656,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,afraid,-0.08927284999752093,0.26896843658632136,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,strong,0.22041782420401074,-0.17204508000578414,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,able,-0.18223365048738824,0.36121375886887613,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,missing,-0.012442913408053384,0.4056796520304349,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,oop,-0.19931199206173883,0.007217824987409035,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,fixed,-0.06724486283561831,0.17763726366130306,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,sleepy,0.2828281506653627,0.07643358696920148,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,alone,-0.3713294844536157,0.034680419513072984,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,straight,-0.08308935033980085,-0.3935172064013408,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,welcome,0.057438153335298815,0.18897680363053504,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,tall,0.2831448252612363,-0.30296493017452836,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,ow,-0.026160071960480306,0.039698968080081776,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,mad,0.2732520732039888,0.20773419764038087,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,cooking,0.07077485787714623,0.23568237994227362,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,flying,0.11295133707123375,0.10278547396025947,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,dark,0.15902377232702927,-0.1872459232272459,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,delicious,0.13286004653641004,-0.05415795682827812,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,closed,-0.10671286147780414,0.11422071423566549,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,yum,-0.16075193957092843,0.12135021511303744,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,moving,0.08064795043976059,0.14033420389293408,adjective,real,none
