model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-mlm-bpe-unmask-seed_222,n,adv,2,0.001,0,0.7934782608695652,0.7692307692307693
smolm-mlm-bpe-unmask-seed_222,n,adv,5,0.001,18,0.7065217391304348,0.6813186813186813
smolm-mlm-bpe-unmask-seed_222,adj,v,2,0.01,16,0.77,0.77
smolm-mlm-bpe-unmask-seed_222,adj,v,3,0.01,11,0.75,0.8
smolm-mlm-bpe-unmask-seed_222,n,adv,1,0.01,0,0.7282608695652174,0.5934065934065934
smolm-mlm-bpe-unmask-seed_666,adj,adv,5,0.01,2,0.6630434782608695,0.5494505494505495
smolm-mlm-bpe-unmask-seed_666,n,adv,3,0.01,20,0.7717391304347826,0.6813186813186813
smolm-mlm-bpe-unmask-seed_666,adj,adv,2,0.01,20,0.6739130434782609,0.5274725274725275
smolm-mlm-bpe-unmask-seed_666,adj,adv,4,0.001,60,0.6630434782608695,0.5494505494505495
smolm-mlm-bpe-unmask-seed_666,adj,v,5,0.01,21,0.76,0.82
smolm-mlm-bpe-unmask-seed_666,n,v,1,0.01,8,0.81,0.85
smolm-mlm-bpe-unmask-seed_666,adj,adv,3,0.001,17,0.6521739130434783,0.5384615384615384
smolm-mlm-bpe-unmask-seed_666,adv,v,2,0.001,51,0.6521739130434783,0.6923076923076923
smolm-mlm-bpe-unmask-seed_666,n,adj,4,0.01,8,0.74,0.7
smolm-mlm-bpe-unmask-seed_666,adv,v,3,0.01,39,0.7282608695652174,0.7362637362637363
smolm-mlm-bpe-unmask-seed_666,n,v,3,0.01,9,0.78,0.83
smolm-mlm-bpe-unmask-seed_666,n,adj,5,0.01,21,0.68,0.7
smolm-mlm-bpe-unmask-seed_666,n,adv,4,0.01,6,0.7934782608695652,0.7142857142857143
smolm-mlm-bpe-unmask-seed_666,adv,v,1,0.001,14,0.6521739130434783,0.6593406593406593
smolm-mlm-bpe-unmask-seed_666,adj,v,1,0.01,24,0.75,0.8
smolm-mlm-bpe-unmask-seed_666,n,v,2,0.001,68,0.78,0.81
smolm-mlm-bpe-unmask-seed_666,n,v,5,0.001,61,0.76,0.83
smolm-mlm-bpe-unmask-seed_666,n,adj,3,0.01,11,0.71,0.73
smolm-mlm-bpe-unmask-seed_666,adj,v,4,0.01,15,0.74,0.79
smolm-mlm-bpe-unmask-seed_666,adv,v,4,0.001,43,0.6521739130434783,0.6593406593406593
smolm-mlm-bpe-unmask-seed_666,n,adj,1,0.001,0,0.73,0.69
smolm-mlm-bpe-unmask-seed_666,n,adj,2,0.01,3,0.73,0.72
smolm-mlm-bpe-unmask-seed_666,n,v,4,0.001,68,0.77,0.83
smolm-mlm-bpe-unmask-seed_666,adj,adv,1,0.001,1,0.7391304347826086,0.6043956043956044
smolm-mlm-bpe-unmask-seed_666,adv,v,5,0.001,16,0.6521739130434783,0.6703296703296703
smolm-mlm-bpe-unmask-seed_666,n,adv,2,0.001,10,0.7391304347826086,0.7252747252747253
smolm-mlm-bpe-unmask-seed_666,n,adv,5,0.001,3,0.8043478260869565,0.6923076923076923
smolm-mlm-bpe-unmask-seed_666,adj,v,2,0.001,0,0.75,0.79
smolm-mlm-bpe-unmask-seed_666,adj,v,3,0.01,20,0.75,0.83
smolm-mlm-bpe-unmask-seed_666,n,adv,1,0.001,8,0.7934782608695652,0.7362637362637363
smolm-mlm-bpe-unmask-seed_777,adj,adv,5,0.01,12,0.532608695652174,0.45054945054945056
smolm-mlm-bpe-unmask-seed_777,n,adv,3,0.01,0,0.75,0.7472527472527473
smolm-mlm-bpe-unmask-seed_777,adj,adv,2,0.01,4,0.532608695652174,0.5054945054945055
smolm-mlm-bpe-unmask-seed_777,adj,adv,4,0.01,0,0.6195652173913043,0.6043956043956044
smolm-mlm-bpe-unmask-seed_777,adj,v,5,0.01,17,0.83,0.77
smolm-mlm-bpe-unmask-seed_777,n,v,1,0.01,7,0.93,0.84
smolm-mlm-bpe-unmask-seed_777,adj,adv,3,0.01,22,0.5869565217391305,0.5054945054945055
smolm-mlm-bpe-unmask-seed_777,adv,v,2,0.01,12,0.6956521739130435,0.7142857142857143
smolm-mlm-bpe-unmask-seed_777,n,adj,4,0.01,11,0.69,0.66
smolm-mlm-bpe-unmask-seed_777,adv,v,3,0.01,34,0.6956521739130435,0.6923076923076923
smolm-mlm-bpe-unmask-seed_777,n,v,3,0.01,6,0.94,0.86
smolm-mlm-bpe-unmask-seed_777,n,adj,5,0.01,12,0.72,0.68
smolm-mlm-bpe-unmask-seed_777,n,adv,4,0.01,1,0.6847826086956522,0.6593406593406593
smolm-mlm-bpe-unmask-seed_777,adv,v,1,0.01,32,0.6847826086956522,0.6153846153846154
smolm-mlm-bpe-unmask-seed_777,adj,v,1,0.01,10,0.77,0.76
smolm-mlm-bpe-unmask-seed_777,n,v,2,0.01,18,0.9,0.83
smolm-mlm-bpe-unmask-seed_777,n,v,5,0.001,42,0.89,0.85
smolm-mlm-bpe-unmask-seed_777,n,adj,3,0.01,8,0.75,0.71
smolm-mlm-bpe-unmask-seed_777,adj,v,4,0.01,24,0.81,0.8
smolm-mlm-bpe-unmask-seed_777,adv,v,4,0.01,14,0.717391304347826,0.7142857142857143
smolm-mlm-bpe-unmask-seed_777,n,adj,1,0.01,7,0.73,0.72
smolm-mlm-bpe-unmask-seed_777,n,adj,2,0.01,12,0.69,0.63
smolm-mlm-bpe-unmask-seed_777,n,v,4,0.001,7,0.92,0.87
